"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT2G14270",3.38445358068992,3.68936878822781,4.06137569541782,3.52756229189612,3.51433144948663,3.46692876393077,3.56897949209347,3.51889576464099,3.53842070456898,3.56048004808123,3.52758014446545,3.74433640901556,3.85465682231794,3.70162925687003,3.73765386266973,3.63249030782811,3.58620567777503
"AT1G10300",5.04190405277869,4.88325431183284,4.42216500886024,4.52908870253696,4.4399814089134,4.39767185211097,4.32760199668874,4.44311751888977,4.42956705777858,4.25199209802118,4.37485129098847,4.73099238105821,4.52968823668639,4.4956834474362,4.66894991008439,4.52602312527643,4.62879221730533
"AT2G14400",3.87419181891433,3.92288005668797,4.30137602246765,4.18835346441953,4.12752184272733,3.97950169405283,4.14929732364246,4.20743347575005,4.18702907045045,4.22221161910913,4.22707882870826,4.15061435825184,4.24003143794012,4.05886678255662,4.03540059213205,4.07944402279728,4.14277005863406
"AT2G15340",4.98165029436988,4.78658431197024,9.27477254812768,9.07852024538677,9.49429254892751,5.48592114909505,5.51579145708355,5.30404615544066,4.92487331047316,4.92533700996685,5.03571965343833,5.92291418117988,6.09481679331112,5.64094005900735,5.95444852375053,6.59008132634502,5.89879136773904
"AT1G11990",3.84927962254587,4.0015721203614,4.46988399866436,4.28447228645888,4.28936639617866,5.00245119767414,4.91327719029311,4.73874844663983,4.81989005605964,5.04367625704159,4.86685605958427,4.49489585676255,3.99591086485394,3.99126872027825,4.11307114971278,3.80152067886543,3.99516935312208
"AT2G13960",3.74133030439394,3.72597873054602,4.22385509857409,4.22482192134524,4.37952657327753,4.15870260394298,4.17551936705399,3.805041450548,3.9191652504904,4.02503023408869,4.04890903462523,4.26008698018699,4.25501193491482,4.35626525104176,4.35443562784853,4.10067334851185,4.16156766837907
"AT2G14260",7.92211889924122,7.88476325856811,9.55606138305014,9.64812183963396,9.59349250770197,9.38735144639168,9.40125543490475,9.32361816071856,9.40627719195102,9.30693728917679,9.44265933747158,9.52496206052449,9.22738488404985,9.42120945444567,9.34469814955959,9.22210822735585,9.32922160914477
"AT2G14140",3.8554165757972,4.05404761773847,4.71205117303817,4.57095806396269,4.40766792381783,3.9646196186936,4.32574682134197,4.39836290108872,3.95581990397232,4.22810922098955,3.98421197061616,4.46100622833149,4.39929129649893,4.49516526921376,4.40694134958269,4.23068073075467,4.13237847681053
"AT2G13540",8.89727878358162,9.07729603329219,7.71703366013231,7.93399021815354,7.68529891406545,8.25225047569765,8.46427086202802,8.39677016477389,8.34975995183441,8.48908766103543,8.45433103478011,8.55049351795729,7.90485208518037,8.2625362264728,8.3656543774135,8.41789688201489,8.28753864032707
"AT2G12900",4.03776055563851,4.06193230155424,4.49366673356548,4.16261995529372,4.16738234743032,3.93455515917155,4.02337717818779,4.08453403532819,4.10806719353691,4.00510339534921,3.87147203016226,4.16330888756668,4.40746099345159,4.34311731025618,4.28123952138958,4.17107113977456,4.13139593587581
"AT2G19050",4.36845463139969,5.05819671793702,5.94055390927473,6.39401284855388,6.40775334175788,4.39012456108378,4.35968309449182,4.59164094465454,4.72146425771871,4.14634247286449,4.21387259554569,5.29985288745176,5.03255448649828,5.08085721795682,5.37330095642259,4.88376510634706,5.00535355217626
"AT2G17890",4.33506430760835,4.91194583360744,5.40950352793873,5.8020811078885,5.59369548714724,4.20385014038462,4.22043406584687,4.15326088164038,4.25437711699288,4.411433924033,4.184237736585,4.35810462358178,4.41526017039668,4.28087176766717,4.24938203916183,4.3832753336798,4.25208589344157
"AT1G08680",6.35179242204564,5.8427280517777,4.69515558447511,4.81560068797066,4.71778475045112,4.99324161633678,4.66946190708617,4.55100154955936,5.07773475451726,4.97578211383762,5.02373543639398,5.66775571352808,5.87088190453902,5.57695126002724,5.79579043427498,5.18624194866089,5.21685182191708
"AT2G18900",7.62722219661765,8.19098324432555,6.22508343385773,6.15037871630242,6.6330005149185,6.58337062336549,6.70151020576902,6.98096088163109,6.72823623646112,6.51749666213844,6.68821133345964,6.95479838900564,6.59957582197263,7.06500393662926,7.15753509863327,7.07031584140943,6.70522926412825
"AT2G19400",4.69652227113134,4.93548423509072,6.02938099060111,6.09798251396003,6.20842388982484,4.70613441241037,4.93371000620031,4.7033371848589,4.794735726745,4.61005930904081,4.64936307397362,5.49620118643335,5.64885325228764,5.44427667405467,5.00800906110006,5.54713736424511,5.08838125404267
"AT2G18750",6.03631148516771,5.52103409657822,4.78300908425153,4.63880988142642,4.90043433691411,5.01362968021165,5.1284002497742,5.02250329077852,5.35142007600502,5.21983933242175,4.92429524659078,5.49276897244876,5.65090922045132,5.60808176380422,5.20669312038085,5.37684762380551,5.56948011363038
"AT2G19390",5.50334940938868,5.10568644202189,4.49233376315199,4.48768599704493,4.64716190921339,4.9066233348652,4.89824106444747,5.05468483554806,4.82980742430777,4.9272852674017,4.83254794950195,4.23394422659508,4.70053349739071,4.45321947376029,4.97789679203128,4.78977916264073,5.03014093274248
